,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
102,Nymphalidae,Heliconiinae,Phalanta,phalantha,"Drury, 1773",Common Leopard,"Forests, forest edges, open habitats",Common,CW,yes,yes,no,no,"More common in forested parts, but seen in grasslands as well"
103,Nymphalidae,Limenitinae,Athyma,inara,"Doubleday, 1850",Colour Sergeant,Forests,Rare,RN,yes,no,no,no,Records from Manikera and Jurakhaman (24-11-2024)
104,Nymphalidae,Limenitinae,Athyma,perius,"Linnaeus, 1758",Common Sergeant,Forests,Uncommon,UN,yes,no,no,no,Seen in Rabandhara and Khandualmali top
105,Nymphalidae,Limenitinae,Athyma,selenophora,"Kollar, 1844",Staff Sergeant,Forests,Uncommon,UN,yes,no,no,no,Seen often in winter months
106,Nymphalidae,Limenitinae,Euthalia,aconthea,"Cramer, 1777",Common Baron,"Forests, forest edges, gardens",Uncommon,UN,yes,yes,no,yes,Seen in Dharamgarh and wooded patches within Bhawanipatna town
107,Nymphalidae,Limenitinae,Euthalia,lubentina,"Cramer, 1777",Gaudy Baron,Forests,Rare,RN,yes,no,no,yes,"Reocrds from Karlapat, Bhawanipatna town (November-December)"
108,Nymphalidae,Limenitinae,Euthalia,nais,"Forster, 1771",Baronet,"Forests, forest edges, open habitats",Abundant,CN,yes,yes,no,yes,"Found all across habitats and seasons, one of the most common"
109,Nymphalidae,Limenitinae,Moduza,procris,"Cramer, 1777",Commander,"Forests, forest edges",Common,CN,yes,yes,no,yes,Commonly seen in pre monsoon and monsoon
110,Nymphalidae,Limenitinae,Neptis,hylas,"Linnaeus, 1758",Common Sailer,"Forests, forest edges, gardens",Common,CW,yes,yes,yes,yes,Seen widely in all seasons across habitats
111,Nymphalidae,Limenitinae,Neptis,jumbah,"Moore, 1858",Chestnut Streaked Sailer,Forests,Uncommon,CN,yes,no,no,no,Seen in forested patches in winter and spring months
112,Nymphalidae,Limenitinae,Pantoporia,hordonia,"Stoll, 1790",Common Lascar,"Forests, forest edges",Common,CN,yes,no,no,no,Records from forested patches in post monsoon and winter months
113,Nymphalidae,Limenitinae,Phaedyma,columella,"Cramer, 1780",Short-banded Sailer,Forests,Rare,RN,yes,no,no,no,"One record from Kumkot RF, Kegaon (2-11-2024)"
114,Nymphalidae,Limenitinae,Tanaecia,lepidea,"Butler, 1868",Gray Count,"Forests, forest edges",Common,CN,yes,no,no,no,Commonly seen in forests post monsoon and winter
115,Nymphalidae,Nymphalinae,Hypolimnas,bolina,"Linnaeus, 1758",Great Eggfly,"Forests, forest edges, open habitats",Common,CW,yes,yes,yes,yes,Common across different habitats
116,Nymphalidae,Nymphalinae,Hypolimnas,misippus,"Linnaeus, 1764",Danaid Eggfly,"Forests, forest edges, open habitats",Common,UW,no,yes,yes,no,Common across different habitats
117,Nymphalidae,Nymphalinae,Junonia,almana,"Linnaeus, 1758",Peacock Pansy,"Forest edges, open habitats",Common,CW,no,yes,yes,yes,"Seen across habitats, among the most common"
118,Nymphalidae,Nymphalinae,Junonia,atlites,"Linnaeus, 1763",Gray Pansy,"Forest edges, open habitats",Common,CW,yes,yes,yes,yes,"Seen across habitats, among the most common"
119,Nymphalidae,Nymphalinae,Junonia,hierta,"Linnaeus, 1758",Yellow Pansy,Grasslands ,Rare,RN,no,no,yes,no,Only seen in high elevation grasslands within forested areas
120,Nymphalidae,Nymphalinae,Junonia,iphita,"Cramer, 1779",Chocolate Pansy,"Forest edges, grasslands, gardens",Common,CW,yes,yes,yes,yes,"Seen across habitats, among the most common"
