id,observed_on,latitude,longitude,taxon_family_name,taxon_subfamily_name,taxon_genus_name,taxon_species_name
251990564,2024-11-16,19.6041273242,83.3322470834,Lycaenidae,Polyommatinae,Acytolepis,Acytolepis puspa
251990701,2024-11-16,19.6261526742,83.3486035331,Papilionidae,Papilioninae,Graphium,Graphium agamemnon
251991067,2024-11-16,19.6239816175,83.3467612368,Pieridae,Pierinae,Pareronia,Pareronia hippia
251991769,2024-11-17,19.9011020997,83.1699459,Hesperiidae,Hesperiinae,Suastus,Suastus gremius
252111921,2024-11-15,19.8044601583,83.307577106,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
252126340,2024-11-18,19.9006904997,83.1694482,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
252126542,2024-11-18,19.900752,83.1693527,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
252126578,2024-11-18,19.9006697997,83.1694408997,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
252152272,2024-11-18,19.9009259722,83.16939,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
252167277,2024-11-18,19.9010059722,83.1693989722,Nymphalidae,Nymphalinae,Junonia,Junonia almana
252245743,2024-11-19,19.9006296997,83.1693953,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
252268856,2024-11-19,19.8042121886,83.0695607402,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
252275957,2024-11-19,19.8093887428,83.0520265926,Nymphalidae,Nymphalinae,Junonia,Junonia orithya
252358125,2024-11-20,19.916644,83.1873199722,Nymphalidae,Limenitidinae,Moduza,Moduza procris
252358154,2024-11-20,19.9166373997,83.1873003,Lycaenidae,Theclinae,Amblypodia,Amblypodia anita
252358195,2024-11-20,19.916674,83.187369,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
252358228,2024-11-20,19.9165182997,83.1871407,Nymphalidae,Limenitidinae,Euthalia,Euthalia nais
252370051,2024-11-20,19.9009843,83.1696266997,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
252388293,2024-11-19,19.7901666667,83.1078111111,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
252481695,2024-11-21,19.9006721997,83.1694351,Nymphalidae,Satyrinae,Elymnias,Elymnias hypermnestra
252507061,2024-11-21,19.900642,83.169543,Papilionidae,Papilioninae,Papilio,Papilio polytes
252578037,2024-11-22,19.8041916667,83.1172361111,Lycaenidae,Polyommatinae,Acytolepis,Acytolepis puspa
252603699,2024-11-16,19.8077194471,83.1174818426,Papilionidae,Papilioninae,Papilio,Papilio polytes
252622486,2024-11-22,20.143275509,83.4313835499,Nymphalidae,Nymphalinae,Hypolimnas,Hypolimnas misippus
252622522,2024-11-22,20.1432535765,83.431834226,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
252622523,2024-11-22,20.1433026804,83.4318825058,Nymphalidae,Danainae,Danaus,Danaus chrysippus
252622534,2024-11-22,20.143096192,83.4315311364,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
